BioSample	Environmental_Category
SAMD00521216	Marine Environment
SAMD00521215	Marine Environment
SAMD00521214	Marine Environment
SAMD00521213	Marine Environment
SAMD00521212	Marine Environment
SAMD00521211	Marine Environment
SAMD00521210	Marine Environment
SAMD00521209	Marine Environment
SAMD00521208	Marine Environment
SAMD00521207	Marine Environment
SAMD00521206	Marine Environment
SAMD00521205	Marine Environment
SAMD00521204	Marine Environment
SAMD00521203	Marine Environment
SAMD00521202	Marine Environment
SAMD00521201	Marine Environment
SAMD00521200	Marine Environment
SAMD00521199	Marine Environment
SAMD00521198	Marine Environment
SAMD00521197	Marine Environment
SAMD00521196	Marine Environment
SAMD00521195	Marine Environment
SAMD00521194	Marine Environment
SAMD00521193	Marine Environment
SAMD00521192	Marine Environment
SAMD00521191	Marine Environment
SAMD00521190	Marine Environment
SAMD00521189	Marine Environment
SAMD00521188	Marine Environment
SAMD00521187	Marine Environment
SAMD00521186	Marine Environment
SAMD00521185	Marine Environment
SAMD00521184	Marine Environment
SAMD00521183	Marine Environment
SAMD00521182	Marine Environment
SAMD00521181	Marine Environment
SAMD00521180	Marine Environment
SAMD00521179	Marine Environment
SAMD00521178	Marine Environment
SAMD00521177	Marine Environment
SAMD00521176	Marine Environment
SAMD00521175	Marine Environment
SAMD00521174	Marine Environment
SAMD00521173	Marine Environment
SAMD00521172	Marine Environment
SAMD00521171	Marine Environment
SAMD00521170	Marine Environment
SAMD00521169	Marine Environment
SAMD00521168	Marine Environment
SAMD00521167	Marine Environment
SAMD00521166	Marine Environment
SAMD00521165	Marine Environment
SAMD00521164	Marine Environment
SAMD00521163	Marine Environment
SAMD00521162	Marine Environment
SAMD00521161	Marine Environment
SAMD00521160	Marine Environment
SAMD00521159	Marine Environment
SAMD00521158	Marine Environment
SAMD00521157	Marine Environment
SAMD00521156	Marine Environment
SAMD00521155	Marine Environment
SAMD00521154	Marine Environment
SAMD00521153	Marine Environment
SAMD00521152	Marine Environment
SAMD00521151	Marine Environment
SAMD00521150	Marine Environment
SAMD00521149	Marine Environment
SAMD00521148	Marine Environment
SAMD00521147	Marine Environment
SAMD00521146	Marine Environment
SAMD00521145	Marine Environment
SAMD00521144	Marine Environment
SAMD00521143	Marine Environment
SAMD00521142	Marine Environment
SAMD00521141	Marine Environment
SAMD00521140	Marine Environment
SAMD00521139	Marine Environment
SAMD00521138	Marine Environment
SAMD00521137	Marine Environment
SAMD00521136	Marine Environment
SAMD00521135	Marine Environment
SAMD00521134	Marine Environment
SAMD00521133	Marine Environment
SAMD00521132	Marine Environment
SAMD00521131	Marine Environment
SAMD00521130	Marine Environment
SAMD00521129	Marine Environment
SAMD00521128	Marine Environment
SAMD00521127	Marine Environment
SAMD00521126	Marine Environment
SAMD00521125	Marine Environment
SAMD00521124	Marine Environment
SAMD00521123	Marine Environment
SAMD00521122	Marine Environment
SAMD00521121	Marine Environment
SAMD00521120	Marine Environment
SAMD00521119	Marine Environment
SAMD00521118	Marine Environment
SAMD00521117	Marine Environment
